"","SEQN","RIAGENDR","RIDAGEYR","RIDRETH1","DMDBORN","DMDCITZN","DMDEDUC3","DMDMARTL","DMDFMSIZ","INDFMINC"
"4",31130,"female",85,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,4
"5",31131,"female",44,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,11
"6",31132,"male",70,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"10",31136,"female",41,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,7
"18",31144,"male",21,"Other Hispanic","The US","A citizen of the US",18,"Never married",6,3
"23",31149,"female",85,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,1
"24",31150,"male",79,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,3
"25",31151,"female",59,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,7
"26",31152,"female",27,"Mexican American","Mexico","A citizen of the US",18,"Married",5,7
"27",31153,"female",44,"Other Race - Including Multi-Racial","The US","A citizen of the US",18,"Never married",2,3
"28",31154,"male",62,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,5
"29",31155,"male",38,"Other Race - Including Multi-Racial","Elsewhere","Not a citizen of the US",20,"Married",4,10
"30",31156,"female",43,"Non-Hispanic Black","The US","A citizen of the US",19,"Separeted",7,7
"32",31158,"male",71,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"34",31160,"female",39,"Non-Hispanic White","The US","A citizen of the US",17,"Married",5,7
"36",31162,"female",71,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"38",31164,"male",54,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"41",31167,"male",37,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,11
"46",31172,"female",20,"Non-Hispanic White","The US","A citizen of the US",17,"Divorced",4,3
"49",31175,"male",75,"Non-Hispanic Black","The US","A citizen of the US",16,"Married",6,11
"53",31179,"male",71,"Non-Hispanic White","The US","A citizen of the US",18,"Separeted",1,1
"57",31183,"female",33,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,8
"60",31186,"female",46,"Mexican American","Mexico","Not a citizen of the US",16,"Divorced",4,6
"61",31187,"female",22,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",1,7
"65",31191,"female",22,"Mexican American","The US","A citizen of the US",17,"Never married",4,4
"66",31192,"female",60,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,7
"67",31193,"male",51,"Non-Hispanic White","The US","A citizen of the US",16,"Divorced",1,2
"68",31194,"female",47,"Mexican American","Mexico","Not a citizen of the US",16,"Divorced",1,3
"69",31195,"male",73,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,10
"73",31199,"female",25,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",1,2
"77",31203,"female",33,"Mexican American","Mexico","Not a citizen of the US",17,"Living with partner",7,8
"79",31205,"female",43,"Mexican American","The US","A citizen of the US",19,"Married",4,11
"81",31207,"female",20,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,1
"82",31208,"female",47,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",1,11
"84",31210,"male",33,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",1,3
"86",31212,"female",23,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",7,3
"87",31213,"female",53,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",2,3
"88",31214,"female",46,"Non-Hispanic White","The US","A citizen of the US",19,"Married",6,5
"94",31220,"male",50,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,11
"95",31221,"female",54,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,11
"97",31223,"male",61,"Mexican American","Mexico","A citizen of the US",17,"Married",2,5
"101",31227,"male",64,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"102",31228,"male",34,"Mexican American","Mexico","Not a citizen of the US",17,"Living with partner",4,6
"105",31231,"female",30,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,9
"106",31232,"female",56,"Non-Hispanic Black","The US","A citizen of the US",18,"Widowed",2,4
